Time Scale; Number of Packets; Total data; 
374; 95805; 4790800.000000; 
375; 96020; 4801765.000000; 
376; 95815; 4790965.000000; 
377; 95836; 4792365.000000; 
378; 95997; 4800215.000000; 
379; 95800; 4790400.000000; 
380; 96048; 4803365.000000; 
381; 95794; 4790365.000000; 
382; 96058; 4803515.000000; 
383; 95801; 4790500.000000; 
384; 96047; 4802915.000000; 
385; 95796; 4790615.000000; 
386; 96050; 4802915.000000; 
387; 95806; 4792100.000000; 
388; 96151; 4807865.000000; 
389; 95809; 4791015.000000; 
390; 96061; 4803665.000000; 
391; 95797; 4790165.000000; 
392; 95854; 4793300.000000; 
393; 95880; 4794665.000000; 
394; 95786; 4789865.000000; 
395; 96077; 4804415.000000; 
396; 95799; 4790500.000000; 
397; 96058; 4803315.000000; 
398; 95785; 4790015.000000; 
399; 96036; 4801765.000000; 
400; 95806; 4791300.000000; 
401; 96052; 4803065.000000; 
402; 95802; 4790465.000000; 
403; 96050; 4802715.000000; 
404; 95796; 4790600.000000; 
405; 96061; 4803815.000000; 
406; 95795; 4790015.000000; 
407; 95872; 4794515.000000; 
408; 95971; 4798465.000000; 
409; 95811; 4791500.000000; 
410; 96072; 4804165.000000; 
411; 95781; 4789665.000000; 
412; 96053; 4803215.000000; 
413; 95792; 4790200.000000; 
414; 96054; 4803265.000000; 
415; 95795; 4790215.000000; 
416; 95988; 4799765.000000; 
417; 95793; 4790250.000000; 
418; 96049; 4803015.000000; 
419; 95795; 4790415.000000; 
420; 96050; 4803065.000000; 
421; 95798; 4791615.000000; 
422; 95863; 4794250.000000; 
423; 96107; 4805715.000000; 
424; 95805; 4790865.000000; 
425; 96067; 4803965.000000; 
426; 95786; 4789550.000000; 
427; 96055; 4803915.000000; 
428; 95786; 4789815.000000; 
429; 96056; 4803565.000000; 
430; 95788; 4789950.000000; 
431; 96046; 4802765.000000; 
432; 95808; 4791265.000000; 
433; 96040; 4802615.000000; 
434; 95789; 4789965.000000; 
435; 96062; 4803650.000000; 
436; 95798; 4790765.000000; 
437; 95887; 4794765.000000; 
438; 95956; 4798065.000000; 
439; 95797; 4790200.000000; 
440; 96039; 4802765.000000; 
441; 95764; 4788465.000000; 
442; 96064; 4803665.000000; 
443; 95800; 4790750.000000; 
444; 96056; 4803315.000000; 
445; 95793; 4790415.000000; 
446; 96064; 4803565.000000; 
447; 95797; 4790300.000000; 
448; 96110; 4805915.000000; 
449; 95798; 4790515.000000; 
450; 96041; 4802315.000000; 
451; 95803; 4790750.000000; 
452; 95911; 4796265.000000; 
453; 95812; 4790815.000000; 
454; 95795; 4790165.000000; 
455; 96060; 4803650.000000; 
456; 95792; 4790415.000000; 
457; 96037; 4802815.000000; 
458; 95810; 4790765.000000; 
459; 96052; 4803250.000000; 
460; 95788; 4789715.000000; 
461; 96060; 4803615.000000; 
462; 95796; 4790215.000000; 
463; 96061; 4803415.000000; 
464; 95800; 4790650.000000; 
465; 96062; 4803765.000000; 
466; 95776; 4789815.000000; 
467; 95922; 4796715.000000; 
468; 95928; 4796550.000000; 
469; 95802; 4790315.000000; 
470; 96068; 4804365.000000; 
471; 95796; 4790315.000000; 
472; 96061; 4803050.000000; 
473; 95789; 4790215.000000; 
474; 96065; 4803715.000000; 
475; 95807; 4790815.000000; 
476; 96050; 4803000.000000; 
477; 95794; 4790515.000000; 
478; 96037; 4802615.000000; 
