Time Scale; Number of Packets; Total data (b); 
529.000000; 1917; 1432105; 
530.000000; 2178; 1630520; 
531.000000; 1967; 1472272; 
532.000000; 2838; 2132561; 
533.000000; 2176; 1618200; 
534.000000; 2156; 1619338; 
535.000000; 2451; 1844803; 
536.000000; 2954; 2218781; 
537.000000; 2868; 2135952; 
538.000000; 1871; 1407579; 
539.000000; 2417; 1812559; 
540.000000; 2298; 1723742; 
541.000000; 2638; 1982087; 
542.000000; 2210; 1647002; 
543.000000; 2075; 1573427; 
544.000000; 2360; 1775784; 
545.000000; 2976; 2227781; 
546.000000; 1895; 1410890; 
547.000000; 2488; 1860835; 
548.000000; 2162; 1608111; 
549.000000; 1838; 1378607; 
550.000000; 2710; 2045365; 
551.000000; 2203; 1652299; 
552.000000; 1911; 1439566; 
553.000000; 2912; 2175293; 
554.000000; 2914; 2182048; 
555.000000; 2571; 1932081; 
556.000000; 1825; 1364959; 
557.000000; 2310; 1723953; 
558.000000; 1826; 1364754; 
559.000000; 1900; 1422797; 
560.000000; 2157; 1619022; 
561.000000; 2175; 1613573; 
562.000000; 1973; 1476447; 
563.000000; 1943; 1452501; 
564.000000; 2965; 2231470; 
565.000000; 1829; 1369488; 
566.000000; 1981; 1476160; 
567.000000; 2643; 1992499; 
568.000000; 2739; 2039824; 
569.000000; 2588; 1943132; 
570.000000; 2798; 2101820; 
571.000000; 2699; 2032681; 
572.000000; 2207; 1647421; 
573.000000; 1864; 1394572; 
574.000000; 2692; 2022160; 
575.000000; 2724; 2036431; 
576.000000; 2824; 2123116; 
577.000000; 2021; 1515323; 
578.000000; 2837; 2129736; 
579.000000; 2981; 2230588; 
580.000000; 2756; 2077871; 
581.000000; 1873; 1391344; 
582.000000; 2716; 2035167; 
583.000000; 2648; 1984587; 
584.000000; 2743; 2046050; 
585.000000; 1942; 1452366; 
586.000000; 2356; 1775864; 
587.000000; 2349; 1768750; 
588.000000; 2199; 1655293; 
589.000000; 2863; 2143752; 
590.000000; 2074; 1565230; 
591.000000; 1976; 1473955; 
592.000000; 2995; 2238924; 
593.000000; 2764; 2069033; 
594.000000; 2116; 1585286; 
595.000000; 2178; 1637602; 
596.000000; 2922; 2184837; 
597.000000; 2801; 2100770; 
598.000000; 2573; 1938457; 
599.000000; 2709; 2042367; 
600.000000; 2030; 1530248; 
601.000000; 2924; 2192828; 
602.000000; 1944; 1441652; 
603.000000; 1827; 1353757; 
604.000000; 2266; 1703253; 
605.000000; 2631; 1971030; 
606.000000; 2168; 1624035; 
607.000000; 2642; 1982060; 
608.000000; 2734; 2058091; 
609.000000; 2572; 1930185; 
610.000000; 2082; 1570770; 
611.000000; 1914; 1444081; 
612.000000; 2567; 1922131; 
613.000000; 2333; 1742077; 
614.000000; 1847; 1380076; 
615.000000; 2634; 1973325; 
616.000000; 2690; 2009153; 
617.000000; 2312; 1735151; 
618.000000; 2421; 1826386; 
619.000000; 2097; 1573599; 
620.000000; 2565; 1921403; 
621.000000; 2593; 1950519; 
622.000000; 2931; 2193023; 
623.000000; 2512; 1881257; 
624.000000; 2880; 2155546; 
625.000000; 2399; 1802332; 
626.000000; 2648; 1982964; 
627.000000; 2753; 2068771; 
628.000000; 2231; 1663349; 
629.000000; 2513; 1887485; 
630.000000; 1837; 1374584; 
631.000000; 2582; 1926815; 
632.000000; 2392; 1791259; 
633.000000; 1913; 1428906; 
634.000000; 2210; 1652691; 
635.000000; 2523; 1881639; 
636.000000; 2575; 1930728; 
637.000000; 2802; 2105821; 
638.000000; 2332; 1757684; 
639.000000; 2716; 2024475; 
640.000000; 2267; 1701183; 
641.000000; 2931; 2198787; 
642.000000; 2794; 2110893; 
643.000000; 1947; 1461576; 
644.000000; 2899; 2164188; 
645.000000; 2064; 1550320; 
646.000000; 2660; 1999603; 
647.000000; 2691; 2003089; 
648.000000; 2102; 1573941; 
649.000000; 1859; 1402232; 
650.000000; 2245; 1687544; 
651.000000; 1860; 1394711; 
652.000000; 2642; 1974410; 
653.000000; 1846; 1390046; 
654.000000; 2452; 1825582; 
655.000000; 2267; 1705680; 
656.000000; 1959; 1467146; 
657.000000; 1858; 1394593; 
658.000000; 2369; 1773178; 
659.000000; 2240; 1684044; 
660.000000; 2271; 1693057; 
661.000000; 2075; 1551551; 
662.000000; 2573; 1923716; 
663.000000; 2704; 2030723; 
664.000000; 2200; 1651838; 
665.000000; 2304; 1720498; 
666.000000; 2541; 1907342; 
667.000000; 2326; 1737420; 
668.000000; 2529; 1898684; 
669.000000; 2051; 1557317; 
670.000000; 2248; 1681590; 
671.000000; 2309; 1740291; 
672.000000; 2031; 1523431; 
673.000000; 2199; 1653762; 
674.000000; 2290; 1726970; 
675.000000; 1829; 1364295; 
676.000000; 2105; 1572412; 
677.000000; 2901; 2167510; 
678.000000; 2129; 1605766; 
679.000000; 2698; 2022151; 
680.000000; 2362; 1767994; 
681.000000; 2006; 1499031; 
682.000000; 1886; 1409765; 
683.000000; 2562; 1916791; 
684.000000; 2281; 1718315; 
685.000000; 2659; 1994905; 
686.000000; 2681; 2007573; 
687.000000; 2159; 1609071; 
688.000000; 2889; 2168498; 
689.000000; 2073; 1562411; 
690.000000; 1993; 1494625; 
691.000000; 1901; 1425614; 
692.000000; 2892; 2163423; 
693.000000; 2463; 1854263; 
694.000000; 2485; 1863677; 
695.000000; 2977; 2243448; 
696.000000; 2450; 1833986; 
697.000000; 2106; 1569185; 
698.000000; 2259; 1686533; 
699.000000; 2656; 2007310; 
700.000000; 2192; 1648954; 
701.000000; 2640; 1979306; 
702.000000; 1970; 1483379; 
703.000000; 2367; 1772425; 
704.000000; 2999; 2249496; 
705.000000; 2040; 1541623; 
